event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6,optimum_strike,optimum_dip,optimum_rake,instability,instability_max
21164239,2001-05-15,02:39:51.260000,2001-05-15T02:39:51.260000Z,35.7600,-121.2400,7.8400,8.0000,313.0000,58.0000,128.0000,77.0000,48.0000,46.0000,2,4.0100,3.8000,3.9000,3.8000,6325509999999999541248.0000,21,4.5954,-5.3965,0.8011,0.0519,3.5141,1.6688,4.5954,-5.3965,0.8011,0.0519,3.5141,1.6688,313.0000,58.0000,128.0000,0.7464,0.7464
21164778,2001-05-17,21:53:45.180000,2001-05-17T21:53:45.180000Z,35.8000,-118.0400,10.5700,8.0000,213.0000,76.0000,-22.0000,309.0000,69.0000,-164.0000,2,4.4900,4.1800,,4.0000,14152000000000000000000.0000,22,-0.2970,-1.0740,1.3709,0.4938,0.2112,-0.3953,-0.2970,-1.0740,1.3709,0.4938,0.2112,-0.3953,213.0000,76.0000,338.0000,0.9808,0.9808
21164793,2001-05-17,22:56:45.450000,2001-05-17T22:56:45.450000Z,35.7900,-118.0400,10.5800,8.0000,201.0000,71.0000,-58.0000,320.0000,37.0000,-146.0000,2,4.6300,4.2700,,4.2000,22343000000000000262144.0000,22,-1.1349,-0.8674,2.0024,0.6074,1.2882,-0.3161,-1.1349,-0.8674,2.0024,0.6074,1.2882,-0.3161,201.0000,71.0000,302.0000,0.9733,0.9733
21165479,2001-05-22,00:40:39.420000,2001-05-22T00:40:39.420000Z,40.4600,-124.8500,12.1000,18.0000,219.0000,89.0000,-1.0000,309.0000,89.0000,-179.0000,2,3.7200,3.6400,,3.9000,9406180000000000393216.0000,21,0.1712,-9.2714,9.1003,0.2497,0.1135,-2.0058,0.1712,-9.2714,9.1003,0.2497,0.1135,-2.0058,219.0000,89.0000,359.0000,0.9367,0.9367
30223107,2001-07-02,17:33:53.680000,2001-07-02T17:33:53.680000Z,36.7000,-121.3300,4.3000,11.0000,134.0000,81.0000,-162.0000,41.0000,73.0000,-10.0000,2,4.1900,3.9400,4.0800,4.1000,17023200000000001048576.0000,22,-0.0791,-1.5510,1.6301,-0.5746,0.1335,-0.1511,-0.0791,-1.5510,1.6301,-0.5746,0.1335,-0.1511,41.0000,73.0000,-10.0000,0.8744,0.8744
21209319,2001-07-03,19:02:50.790000,2001-07-03T19:02:50.790000Z,36.6900,-121.3300,5.5700,11.0000,47.0000,88.0000,-10.0000,138.0000,80.0000,-178.0000,2,4.3600,4.0000,4.0300,4.1000,20334000000000000524288.0000,22,-0.0189,-1.9809,1.9998,-0.3177,-0.1982,0.1808,-0.0189,-1.9809,1.9998,-0.3177,-0.1982,0.1808,138.0000,80.0000,-178.0000,0.8453,0.8453
30223942,2001-07-03,19:07:16.260000,2001-07-03T19:07:16.260000Z,36.6900,-121.3200,4.5700,11.0000,37.0000,72.0000,-24.0000,135.0000,67.0000,-160.0000,2,4.0200,3.8000,3.8800,4.0000,11662400000000000000000.0000,22,-0.3188,-0.8657,1.1845,-0.4533,-0.1021,-0.1422,-0.3188,-0.8657,1.1845,-0.4533,-0.1021,-0.1422,37.0000,72.0000,336.0000,0.9065,0.9065
21177031,2001-07-06,15:07:31.970000,2001-07-06T15:07:31.970000Z,38.3500,-122.6300,6.6200,8.0000,308.0000,88.0000,169.0000,38.0000,79.0000,2.0000,2,3.6300,3.5500,3.7000,3.5000,2622940000000000131072.0000,21,-0.3906,-2.2928,2.6835,-0.2856,0.4697,-0.6479,-0.3906,-2.2928,2.6835,-0.2856,0.4697,-0.6479,38.0000,79.0000,2.0000,0.9202,0.9202
21181820,2001-07-17,12:07:25.830000,2001-07-17T12:07:25.830000Z,36.0100,-117.8700,7.1600,8.0000,352.0000,82.0000,171.0000,83.0000,81.0000,8.0000,2,5.4100,4.7300,,5.2000,691319000000000008650752.0000,23,-0.2650,-1.5594,1.8244,0.8639,1.2514,6.5430,-0.2650,-1.5594,1.8244,0.8639,1.2514,6.5430,352.0000,82.0000,171.0000,0.9316,0.9316
30223141,2001-07-17,12:59:59.160000,2001-07-17T12:59:59.160000Z,36.0100,-117.8800,5.9000,5.0000,251.0000,80.0000,-16.0000,344.0000,74.0000,-170.0000,2,4.3700,4.4600,,4.9000,266343999999999989514240.0000,23,-0.1998,-1.3591,1.5589,0.8069,-0.2018,2.0604,-0.1998,-1.3591,1.5589,0.8069,-0.2018,2.0604,344.0000,74.0000,-170.0000,0.9494,0.9494
