event_id,date,time_utc,datetime_utc,lat,lon,depth,moment_tensor_depth,strike1,dip1,rake1,strike2,dip2,rake2,n_fault_planes,ma,md,ml,mw,scalar_moment,mt_exponent,mt_mrr,mt_mtt,mt_mpp,mt_mrt,mt_mrp,mt_mtp,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6
21223167,2002-04-26,11:01:26.260000,2002-04-26T11:01:26.260000Z,39.04,-123.12,4.81,8.0,317.0,80.0,168.0,49.0,78.0,10.0,2,3.6,3.59,3.51,3.8,5.57706e+21,21,-0.1384,-5.2394,5.3777,-0.0094,1.6761,0.6086,-0.1384,-5.2394,5.3777,-0.0094,1.6761,0.6086
21223451,2002-04-29,00:43:29.770000,2002-04-29T00:43:29.770000Z,40.6,-124.45,28.7,27.0,255.0,89.0,18.0,165.0,72.0,179.0,2,4.29,4.35,4.36,4.6,9.78668e+22,22,-0.1265,-4.5399,4.6664,-2.9388,-0.98649,8.0627,-0.1265,-4.5399,4.6664,-2.9388,-0.98649,8.0627
21224294,2002-05-04,12:17:01.050000,2002-05-04T12:17:01.050000Z,40.31,-124.5,7.28,5.0,166.0,73.0,50.0,57.0,43.0,155.0,2,3.97,3.84,,3.9,9.694519e+21,21,4.1064,2.8476,-6.954,2.8575,-5.5393,-4.3241,4.1064,2.8476,-6.954,2.8575,-5.5393,-4.3241
21224295,2002-05-04,12:54:24.700000,2002-05-04T12:54:24.700000Z,40.31,-124.49,7.22,8.0,255.0,86.0,159.0,347.0,69.0,4.0,2,3.8,3.69,3.65,3.8,5.68256e+21,21,1.8427,1.4664,-3.3092,-1.6136,-1.1078,-4.8116,1.8427,1.4664,-3.3092,-1.6136,-1.1078,-4.8116
21224315,2002-05-04,13:56:32.990000,2002-05-04T13:56:32.990000Z,40.31,-124.54,6.07,5.0,353.0,84.0,-8.0,84.0,82.0,-174.0,2,4.29,4.21,4.26,4.4,4.57622e+22,22,-0.207,1.1106,-0.90357,-0.40481,-0.6886,-4.3887,-0.207,1.1106,-0.90357,-0.40481,-0.6886,-4.3887
21224932,2002-05-08,14:59:36.110000,2002-05-08T14:59:36.110000Z,38.22,-121.84,17.43,14.0,97.0,69.0,32.0,354.0,60.0,155.0,2,3.67,3.86,3.68,3.6,3.24266e+21,21,1.0642,-0.4496,-0.6145,1.4931,0.9633,2.558,1.0642,-0.4496,-0.6145,1.4931,0.9633,2.558
21225043,2002-05-09,11:07:55.860000,2002-05-09T11:07:55.860000Z,38.8,-122.73,2.67,3.5,336.0,68.0,-150.0,233.0,62.0,-25.0,2,3.55,3.51,3.58,3.78,5.823e+21,21,-2.6785,-3.2072,5.8857,1.5522,-1.0667,2.4151,-2.6785,-3.2072,5.8857,1.5522,-1.0667,2.4151
21254601,2002-05-14,05:00:29.500000,2002-05-14T05:00:29.500000Z,36.97,-121.6,6.79,8.0,32.0,83.0,10.0,301.0,80.0,173.0,2,,4.65,4.94,4.9,2.99957e+23,23,0.19669,-2.7268,2.5301,0.011641,0.60607,-1.3027,0.19669,-2.7268,2.5301,0.011641,0.60607,-1.3027
21231051,2002-06-17,16:55:07.680000,2002-06-17T16:55:07.680000Z,40.81,-124.55,17.19,21.0,238.0,87.0,13.0,148.0,77.0,177.0,2,4.75,4.81,5.09,5.2,8.98725e+23,23,1.1176,-8.4413,7.3237,-1.5935,-1.0982,3.8348,1.1176,-8.4413,7.3237,-1.5935,-1.0982,3.8348
21235556,2002-07-15,20:18:17.590000,2002-07-15T20:18:17.590000Z,37.38,-118.41,11.4,14.0,297.0,78.0,-158.0,203.0,69.0,-13.0,2,4.14,3.83,4.07,3.6,3.54466e+21,21,-1.2789,-1.8903,3.1693,0.9058,-0.242,-2.1919,-1.2789,-1.8903,3.1693,0.9058,-0.242,-2.1919
21243814,2002-09-06,07:28:22.590000,2002-09-06T07:28:22.590000Z,35.87,-120.41,8.59,8.0,51.0,87.0,-6.0,142.0,84.0,-177.0,2,3.94,3.91,3.81,3.9,8.32587e+21,21,-0.5887,-7.7638,8.3525,-0.875,-0.1604,1.8768,-0.5887,-7.7638,8.3525,-0.875,-0.1604,1.8768
30224932,2002-09-25,07:08:46.160000,2002-09-25T07:08:46.160000Z,36.59,-121.2,7.66,11.0,226.0,87.0,5.0,136.0,85.0,177.0,2,3.82,3.86,3.89,3.8,6.79277e+21,21,-0.2127,-6.6432,6.8559,-0.1747,-0.7431,0.1724,-0.2127,-6.6432,6.8559,-0.1747,-0.7431,0.1724
21247553,2002-09-28,16:07:47.660000,2002-09-28T16:07:47.660000Z,36.59,-121.2,8.99,14.0,235.0,87.0,7.0,145.0,83.0,177.0,2,3.81,3.72,3.71,3.7,4.51387e+21,21,0.1839,-4.3049,4.1211,-0.3214,-0.4533,1.5184,0.1839,-4.3049,4.1211,-0.3214,-0.4533,1.5184
21254383,2002-11-12,16:48:25.080000,2002-11-12T16:48:25.080000Z,35.97,-120.52,7.41,11.0,141.0,87.0,-174.0,50.0,84.0,-3.0,2,4.45,4.14,,4.1,1.79357e+22,22,-0.25814,-1.6214,1.8795,-0.16346,0.09196,0.33293,-0.25814,-1.6214,1.8795,-0.16346,0.09196,0.33293
21256154,2002-11-21,13:17:39.280000,2002-11-21T13:17:39.280000Z,40.3,-124.42,8.59,11.0,194.0,85.0,5.0,104.0,85.0,175.0,2,3.64,3.65,,3.9,8.29492e+21,21,1.1374,-4.4194,3.282,0.3694,-0.7462,-7.2881,1.1374,-4.4194,3.282,0.3694,-0.7462,-7.2881
30225187,2002-11-24,14:54:23.050000,2002-11-24T14:54:23.050000Z,37.76,-121.95,9.74,8.0,242.0,87.0,-17.0,333.0,73.0,-177.0,2,,3.66,3.9,3.9,7.82136e+21,21,1.7214,-6.9955,5.2741,2.8292,-0.0656,4.1507,1.7214,-6.9955,5.2741,2.8292,-0.0656,4.1507
21261534,2002-12-28,14:08:20.520000,2002-12-28T14:08:20.520000Z,36.14,-120.16,10.87,11.0,298.0,77.0,86.0,137.0,13.0,109.0,2,3.96,3.84,,3.73,4.935e+21,21,2.4469,-1.2299,-1.217,-4.0107,1.9393,0.6251,2.4469,-1.2299,-1.217,-4.0107,1.9393,0.6251
21262721,2003-01-07,22:29:26.910000,2003-01-07T22:29:26.910000Z,36.81,-121.39,7.99,8.0,152.0,83.0,-166.0,60.0,76.0,-7.0,2,4.68,4.35,,4.3,3.37784e+22,22,-0.24664,-2.6478,2.8944,-0.69514,0.52225,1.7123,-0.24664,-2.6478,2.8944,-0.69514,0.52225,1.7123
21262804,2003-01-08,05:43:44.890000,2003-01-08T05:43:44.890000Z,40.39,-125.09,7.35,8.0,101.0,90.0,-176.0,11.0,86.0,0.0,2,,4.17,,4.6,8.58839e+22,22,-0.42309,-3.051,3.474,-0.5789,0.15563,-7.9221,-0.42309,-3.051,3.474,-0.5789,0.15563,-7.9221
30225576,2003-02-02,16:22:52.390000,2003-02-02T16:22:52.390000Z,37.75,-121.94,15.64,11.0,270.0,80.0,16.0,177.0,74.0,170.0,2,,3.79,3.64,3.8,5.4231e+21,21,1.1215,-0.8906,-0.2308,-1.22,-0.6057,5.1876,1.1215,-0.8906,-0.2308,-1.22,-0.6057,5.1876
